id,barrio,zona,latitud,longitud,distancia_km,tarifa_base,recargo_distancia,tarifa_total,tiempo_entrega_min
58,NOGAL,Sector Medio,4.1475,-73.633,4.5,6000,5000,11000,21
59,SAN CRISTOBAL,Sector Medio,4.1448,-73.6379,4.5,6000,5000,11000,21
60,CAMELIAS,Sector Medio,4.1536,-73.6352,4.5,6000,5000,11000,21
61,OLIMPICO BAJO,Sector Medio,4.1487,-73.6379,4.5,6000,5000,11000,21
62,VILLA ORTIX,Sector Medio,4.1493,-73.6305,4.5,6000,5000,11000,21
63,OLIMPICO,Sector Medio,4.148,-73.6292,4.5,6000,5000,11000,21
64,VILLA JHOANA,Sector Medio,4.1447,-73.6306,4.5,6000,5000,11000,21
65,CATALUÑA,Sector Medio,4.1509,-73.6382,4.5,6000,5000,11000,21
66,VILLA NIEVES,Sector Medio,4.1521,-73.6357,4.5,6000,5000,11000,21
67,DANUVIO,Sector Medio,4.1473,-73.6352,4.5,6000,5000,11000,21
68,GAUDALAJARA,Sector Medio,4.1459,-73.6338,4.5,6000,5000,11000,21
69,MARACOS,Sector Medio,4.1505,-73.6326,4.5,6000,5000,11000,21
70,Página 782,Sector Medio,4.1454,-73.6302,5.2,6000,6000,12000,23
71,MI LLANURA,Sector Medio,4.149,-73.6343,5.2,6000,6000,12000,23
72,BELLO HORISONTE,Sector Medio,4.1442,-73.6373,5.2,6000,6000,12000,23
73,SAN INGNACIO,Sector Medio,4.1474,-73.633,5.2,6000,6000,12000,23
74,"CANTARRANA 1,2,3,4,",Sector Medio,4.1472,-73.6382,5.2,6000,6000,12000,23
75,PARQUE LA LLNURA,Sector Medio,4.1502,-73.6384,5.2,6000,6000,12000,23
76,PARQUE SICUANI,Sector Medio,4.1476,-73.6322,5.2,6000,6000,12000,23
77,SAUSALITO,Sector Medio,4.1471,-73.6375,5.2,6000,6000,12000,23
78,BOCHICA,Sector Medio,4.1527,-73.6383,5.2,6000,6000,12000,23
79,CANAIMA,Sector Medio,4.1446,-73.6343,5.2,6000,6000,12000,23
80,PORTAL DEL CANAIMA,Sector Medio,4.1526,-73.6329,5.2,6000,6000,12000,23
81,SAN NISIDRO,Sector Medio,4.1442,-73.6304,5.2,6000,6000,12000,23
82,SANTA INES,Sector Medio,4.1509,-73.6339,5.2,6000,6000,12000,23
83,HOTEL ROSADO,Sector Medio,4.1456,-73.6357,5.2,6000,6000,12000,23
84,VILLA DEL SOL,Sector Medio,4.1443,-73.6354,5.2,6000,6000,12000,23
85,LA MORGUE,Sector Medio,4.1447,-73.6377,5.2,6000,6000,12000,23
86,SAN MARCOS,Sector Medio,4.1455,-73.6313,5.2,6000,6000,12000,23
87,CONJONTO TOSCANA,Sector Medio,4.1457,-73.636,5.2,6000,6000,12000,23
88,QUINTAS DE TOSCANA,Sector Medio,4.1471,-73.6372,5.2,6000,6000,12000,23
89,FLORIDA,Sector Medio,4.1534,-73.6352,5.2,6000,6000,12000,23
90,NUEVA FLORESTA,Sector Medio,4.1515,-73.6362,5.2,6000,6000,12000,23
91,TEUSACA,Sector Medio,4.15,-73.6363,5.2,6000,6000,12000,23
92,EMBUDO,Sector Medio,4.1478,-73.6304,5.2,6000,6000,12000,23
93,SANBENITO,Sector Medio,4.1438,-73.6315,5.2,6000,6000,12000,23
94,NUEVO RICAUTE,Sector Medio,4.145,-73.6323,5.2,6000,6000,12000,23
95,PORVENIR,Sector Medio,4.1532,-73.6355,5.2,6000,6000,12000,23
96,VIENTE JULIO,Sector Medio,4.1518,-73.6327,5.2,6000,6000,12000,23
97,SIMON BOLIVAR,Sector Medio,4.1515,-73.6375,5.2,6000,6000,12000,23
98,ANTONIO RICAUTE,Sector Medio,4.152,-73.6332,5.2,6000,6000,12000,23
99,BARRIO NOGALES,Sector Medio,4.1475,-73.633,5.2,6000,6000,12000,23
100,CANEY,Sector Medio,4.1468,-73.6318,5.2,6000,6000,12000,23
101,BRISAS DEL CANEY,Sector Medio,4.1468,-73.6318,5.2,6000,6000,12000,23
102,AMARAL,Sector Medio,4.1441,-73.6389,5.2,6000,6000,12000,23
103,Página 783,Sector Cereo Uno,4.1451,-73.6364,4.5,6000,5000,11000,21
104,CATATUMBO,Sector Cereo Uno,4.1464,-73.6336,4.5,6000,5000,11000,21
105,RETIRO,Sector Cereo Uno,4.1448,-73.6327,4.5,6000,5000,11000,21
106,BUENOS AIRES,Sector Cereo Uno,4.1442,-73.6359,4.5,6000,5000,11000,21
107,REMANSO,Sector Cereo Uno,4.1499,-73.6353,4.5,6000,5000,11000,21
108,VIZCAYA,Sector Cereo Uno,4.1522,-73.6291,4.5,6000,5000,11000,21
109,HOTEL HACARITAMA,Sector Cereo Uno,4.1456,-73.6338,4.5,6000,5000,11000,21
110,CANCHA RACING,Sector Cereo Uno,4.1443,-73.6308,4.5,6000,5000,11000,21
