id,barrio,zona,latitud,longitud,distancia_km,tarifa_base,recargo_distancia,tarifa_total,tiempo_entrega_min
66,VILLA NIEVES,Sector Cerca Medio,4.1521,-73.6357,2.4,6000,2000,8000,16
67,DANUVIO,Sector Cerca Medio,4.1473,-73.6352,2.4,6000,2000,8000,16
68,GAUDALAJARA,Sector Cerca Medio,4.1459,-73.6338,2.4,6000,2000,8000,16
69,MARACOS,Sector Cerca Medio,4.1505,-73.6326,2.4,6000,2000,8000,16
70,MI LLANURA,Sector Cerca Medio,4.149,-73.6343,2.4,6000,2000,8000,16
71,BELLO HORISONTE,Sector Cerca Medio,4.1442,-73.6373,2.4,6000,2000,8000,16
72,Página 281,Sector Cerca Medio,4.1454,-73.6306,2.4,6000,2000,8000,16
73,SAN INGNACIO,Sector Cerca Medio,4.1474,-73.633,2.4,6000,2000,8000,16
74,"CANTARRANA 1,2,3,4,",Sector Cerca Medio,4.1472,-73.6382,2.4,6000,2000,8000,16
75,PARQUE LA LLNURA,Sector Cerca Medio,4.1502,-73.6384,2.4,6000,2000,8000,16
76,PARQUE SICUANI,Sector Cerca Medio,4.1476,-73.6322,2.4,6000,2000,8000,16
77,SAUSALITO,Sector Cerca Medio,4.1471,-73.6375,2.4,6000,2000,8000,16
78,BOCHICA,Sector Cerca Medio,4.1527,-73.6383,2.4,6000,2000,8000,16
79,CANAIMA,Sector Cerca Medio,4.1446,-73.6343,2.4,6000,2000,8000,16
80,PORTAL DEL CANAIMA,Sector Cerca Medio,4.1526,-73.6329,2.4,6000,2000,8000,16
81,SAN NISIDRO,Sector Cerca Medio,4.1442,-73.6304,2.4,6000,2000,8000,16
82,SANTA INES,Sector Cerca Medio,4.1509,-73.6339,2.4,6000,2000,8000,16
83,HOTEL ROSADO,Sector Cerca Medio,4.1456,-73.6357,2.4,6000,2000,8000,16
84,VILLA DEL SOL,Sector Cerca Medio,4.1443,-73.6354,2.4,6000,2000,8000,16
85,LA MORGUE,Sector Cerca Medio,4.1447,-73.6377,2.4,6000,2000,8000,16
86,SAN MARCOS,Sector Cerca Medio,4.1455,-73.6313,2.4,6000,2000,8000,16
87,CONJONTO TOSCANA,Sector Cerca Medio,4.1457,-73.636,2.4,6000,2000,8000,16
88,QUINTAS DE TOSCANA,Sector Cerca Medio,4.1471,-73.6372,2.4,6000,2000,8000,16
89,FLORIDA,Sector Cerca Medio,4.1534,-73.6352,2.4,6000,2000,8000,16
90,NUEVA FLORESTA,Sector Cerca Medio,4.1515,-73.6362,2.4,6000,2000,8000,16
91,TEUSACA,Sector Cerca Medio,4.15,-73.6363,2.4,6000,2000,8000,16
92,EMBUDO,Sector Cerca Medio,4.1478,-73.6304,2.4,6000,2000,8000,16
93,SANBENITO,Sector Cerca Medio,4.1438,-73.6315,2.4,6000,2000,8000,16
94,NUEVO RICAUTE,Sector Cerca Medio,4.145,-73.6323,2.4,6000,2000,8000,16
95,PORVENIR,Sector Cerca Medio,4.1532,-73.6355,2.4,6000,2000,8000,16
96,VIENTE JULIO,Sector Cerca Medio,4.1518,-73.6327,2.4,6000,2000,8000,16
97,SIMON BOLIVAR,Sector Cerca Medio,4.1515,-73.6375,2.4,6000,2000,8000,16
98,ANTONIO RICAUTE,Sector Cerca Medio,4.152,-73.6332,2.4,6000,2000,8000,16
99,BARRIO NOGALES,Sector Cerca Medio,4.1475,-73.633,2.4,6000,2000,8000,16
100,CANEY,Sector Cerca Medio,4.1468,-73.6318,2.4,6000,2000,8000,16
101,BRISAS DEL CANEY,Sector Cerca Medio,4.1468,-73.6318,2.4,6000,2000,8000,16
102,AMARAL,Sector Cerca Medio,4.1441,-73.6389,2.4,6000,2000,8000,16
103,CATATUMBO,Sector Cerca Medio,4.1464,-73.6336,2.4,6000,2000,8000,16
104,RETIRO,Sector Cerca Medio,4.1448,-73.6327,2.4,6000,2000,8000,16
105,Página 282,Sector Cerca Medio,4.1444,-73.6337,2.4,6000,2000,8000,16
106,BUENOS AIRES,Sector Cerca Medio,4.1442,-73.6359,2.4,6000,2000,8000,16
107,REMANSO,Conjuntos Y Condoninios Sector Medio,4.1499,-73.6353,3.1,6000,3000,9000,17
108,VIZCAYA,Conjuntos Y Condoninios Sector Medio,4.1522,-73.6291,3.1,6000,3000,9000,17
109,HOTEL HACARITAMA,Conjuntos Y Condoninios Sector Medio,4.1456,-73.6338,3.1,6000,3000,9000,17
110,CANCHA RACING,Conjuntos Y Condoninios Sector Medio,4.1443,-73.6308,3.1,6000,3000,9000,17
111,HACARITAMA,Conjuntos Y Condoninios Sector Medio,4.1447,-73.6386,3.1,6000,3000,9000,17
112,BARRIO PRIMAVERA,Conjuntos Y Condoninios Sector Medio,4.1479,-73.636,3.1,6000,3000,9000,17
113,PARQUE PRIMAVERA,Conjuntos Y Condoninios Sector Medio,4.1524,-73.6305,3.1,6000,3000,9000,17
114,CIUDADELA EL DIVINO NIÑO,Conjuntos Y Condoninios Sector Medio,4.1497,-73.6292,3.1,6000,3000,9000,17
115,LAS FERIAS,Conjuntos Y Condoninios Sector Medio,4.148,-73.6314,3.1,6000,3000,9000,17
116,GAITAN,Conjuntos Y Condoninios Sector Medio,4.1456,-73.6352,3.1,6000,3000,9000,17
117,SAN GREGORIO,Conjuntos Y Condoninios Sector Medio,4.1477,-73.6329,3.1,6000,3000,9000,17
118,MAIZARO,Conjuntos Y Condoninios Sector Medio,4.1517,-73.6326,3.1,6000,3000,9000,17
119,"CONDOMINIO DUARY 1,2",Conjuntos Y Condoninios Sector Medio,4.1457,-73.6331,3.1,6000,3000,9000,17
120,CERRO CAMPESTRE ALTO,Conjuntos Y Condoninios Sector Medio,4.1505,-73.6373,3.1,6000,3000,9000,17
121,CERRO CAMPESTRE BAJO,Conjuntos Y Condoninios Sector Medio,4.1455,-73.631,3.1,6000,3000,9000,17
122,CONDOMINIO BOSQUES DE VIZCAYA,Conjuntos Y Condoninios Sector Medio,4.1502,-73.6333,3.1,6000,3000,9000,17
123,CONDOMINIO PORTAL DEL MOLINO,Conjuntos Y Condoninios Sector Medio,4.1461,-73.6303,3.1,6000,3000,9000,17
124,RESERVAS DEL VIZCAYA,Conjuntos Y Condoninios Sector Medio,4.1519,-73.6384,3.1,6000,3000,9000,17
