id,barrio,zona,latitud,longitud,distancia_km,tarifa_base,recargo_distancia,tarifa_total,tiempo_entrega_min
67,VILLA NIEVES,Sector Cerca Medio,4.1521,-73.6357,3.1,6000,3000,9000,17
68,DANUVIO,Sector Cerca Medio,4.1473,-73.6352,3.1,6000,3000,9000,17
69,GAUDALAJARA,Sector Cerca Medio,4.1459,-73.6338,3.1,6000,3000,9000,17
70,MARACOS,Sector Cerca Medio,4.1505,-73.6326,3.1,6000,3000,9000,17
71,MI LLANURA,Sector Cerca Medio,4.149,-73.6343,3.1,6000,3000,9000,17
72,BELLO HORISONTE,Sector Cerca Medio,4.1442,-73.6373,3.1,6000,3000,9000,17
73,Página 523,Sector Cerca Medio,4.1506,-73.6356,3.1,6000,3000,9000,17
74,SAN INGNACIO,Sector Cerca Medio,4.1474,-73.633,3.1,6000,3000,9000,17
75,"CANTARRANA 1,2,3,4,",Sector Cerca Medio,4.1472,-73.6382,3.1,6000,3000,9000,17
76,PARQUE LA LLNURA,Sector Cerca Medio,4.1502,-73.6384,3.1,6000,3000,9000,17
77,PARQUE SICUANI,Sector Cerca Medio,4.1476,-73.6322,3.1,6000,3000,9000,17
78,SAUSALITO,Sector Cerca Medio,4.1471,-73.6375,3.1,6000,3000,9000,17
79,BOCHICA,Sector Cerca Medio,4.1527,-73.6383,3.1,6000,3000,9000,17
80,CANAIMA,Sector Cerca Medio,4.1446,-73.6343,3.1,6000,3000,9000,17
81,PORTAL DEL CANAIMA,Sector Cerca Medio,4.1526,-73.6329,3.1,6000,3000,9000,17
82,SAN NISIDRO,Sector Cerca Medio,4.1442,-73.6304,3.1,6000,3000,9000,17
83,SANTA INES,Sector Cerca Medio,4.1509,-73.6339,3.1,6000,3000,9000,17
84,HOTEL ROSADO,Sector Cerca Medio,4.1456,-73.6357,3.1,6000,3000,9000,17
85,VILLA DEL SOL,Sector Cerca Medio,4.1443,-73.6354,3.1,6000,3000,9000,17
86,LA MORGUE,Sector Cerca Medio,4.1447,-73.6377,3.1,6000,3000,9000,17
87,SAN MARCOS,Sector Cerca Medio,4.1455,-73.6313,3.1,6000,3000,9000,17
88,CONJONTO TOSCANA,Sector Cerca Medio,4.1457,-73.636,3.1,6000,3000,9000,17
89,QUINTAS DE TOSCANA,Sector Cerca Medio,4.1471,-73.6372,3.1,6000,3000,9000,17
90,FLORIDA,Sector Cerca Medio,4.1534,-73.6352,3.1,6000,3000,9000,17
91,NUEVA FLORESTA,Sector Cerca Medio,4.1515,-73.6362,3.1,6000,3000,9000,17
92,TEUSACA,Sector Cerca Medio,4.15,-73.6363,3.1,6000,3000,9000,17
93,EMBUDO,Sector Cerca Medio,4.1478,-73.6304,3.1,6000,3000,9000,17
94,SANBENITO,Sector Cerca Medio,4.1438,-73.6315,3.1,6000,3000,9000,17
95,NUEVO RICAUTE,Sector Cerca Medio,4.145,-73.6323,3.1,6000,3000,9000,17
96,PORVENIR,Sector Cerca Medio,4.1532,-73.6355,3.1,6000,3000,9000,17
97,VIENTE JULIO,Sector Cerca Medio,4.1518,-73.6327,3.1,6000,3000,9000,17
98,SIMON BOLIVAR,Sector Cerca Medio,4.1515,-73.6375,3.1,6000,3000,9000,17
99,ANTONIO RICAUTE,Sector Cerca Medio,4.152,-73.6332,3.1,6000,3000,9000,17
100,BARRIO NOGALES,Sector Cerca Medio,4.1475,-73.633,3.1,6000,3000,9000,17
101,CANEY,Sector Cerca Medio,4.1468,-73.6318,3.1,6000,3000,9000,17
102,BRISAS DEL CANEY,Sector Cerca Medio,4.1468,-73.6318,3.1,6000,3000,9000,17
103,AMARAL,Sector Cerca Medio,4.1441,-73.6389,3.1,6000,3000,9000,17
104,CATATUMBO,Sector Cerca Medio,4.1464,-73.6336,3.1,6000,3000,9000,17
105,RETIRO,Sector Cerca Medio,4.1448,-73.6327,3.1,6000,3000,9000,17
106,BUENOS AIRES,Sector Cerca Medio,4.1442,-73.6359,3.1,6000,3000,9000,17
107,REMANSO,Sector Cerca Medio,4.1499,-73.6353,3.1,6000,3000,9000,17
108,VIZCAYA,Sector Cerca Medio,4.1522,-73.6291,3.1,6000,3000,9000,17
109,HOTEL HACARITAMA,Sector Cerca Medio,4.1456,-73.6338,3.1,6000,3000,9000,17
110,CANCHA RACING,Sector Cerca Medio,4.1443,-73.6308,3.1,6000,3000,9000,17
