id,sector,barrio,tarifa_base,recargo_distancia,tarifa_total,tiempo_estimado,distancia_aprox_km
76,SECTOR GENERAL,PORTAL DEL CANAIMA,10000,0,10000,30-40 min,6.0
77,SECTOR GENERAL,SAN NISIDRO,10000,0,10000,30-40 min,6.0
78,SECTOR GENERAL,SANTA INES,10000,0,10000,30-40 min,6.0
79,SECTOR GENERAL,HOTEL ROSADO,10000,0,10000,30-40 min,6.0
80,SECTOR GENERAL,VILLA DEL SOL,10000,0,10000,30-40 min,6.0
81,SECTOR GENERAL,LA MORGUE,10000,0,10000,30-40 min,6.0
82,SECTOR GENERAL,SAN MARCOS,10000,0,10000,30-40 min,6.0
83,SECTOR GENERAL,CONJONTO TOSCANA,10000,0,10000,30-40 min,6.0
84,SECTOR GENERAL,QUINTAS DE TOSCANA,10000,0,10000,30-40 min,6.0
85,SECTOR GENERAL,FLORIDA,10000,0,10000,30-40 min,6.0
86,SECTOR GENERAL,NUEVA FLORESTA,10000,0,10000,30-40 min,6.0
87,SECTOR GENERAL,TEUSACA,10000,0,10000,30-40 min,6.0
88,SECTOR GENERAL,EMBUDO,10000,0,10000,30-40 min,6.0
89,SECTOR GENERAL,SANBENITO,10000,0,10000,30-40 min,6.0
90,SECTOR GENERAL,NUEVO RICAUTE,10000,0,10000,30-40 min,6.0
91,SECTOR GENERAL,PORVENIR,10000,0,10000,30-40 min,6.0
92,SECTOR GENERAL,VIENTE JULIO,10000,0,10000,30-40 min,6.0
93,SECTOR GENERAL,SIMON BOLIVAR,10000,0,10000,30-40 min,6.0
94,SECTOR GENERAL,ANTONIO RICAUTE,10000,0,10000,30-40 min,6.0
95,SECTOR GENERAL,BARRIO NOGALES,10000,0,10000,30-40 min,6.0
96,SECTOR GENERAL,CANEY,10000,0,10000,30-40 min,6.0
97,SECTOR GENERAL,BRISAS DEL CANEY,10000,0,10000,30-40 min,6.0
98,SECTOR GENERAL,AMARAL,10000,0,10000,30-40 min,6.0
99,SECTOR GENERAL,CATATUMBO,10000,0,10000,30-40 min,6.0
100,SECTOR GENERAL,RETIRO,10000,0,10000,30-40 min,6.0
101,SECTOR GENERAL,BUENOS AIRES,10000,0,10000,30-40 min,6.0
102,SECTOR GENERAL,REMANSO,10000,0,10000,30-40 min,6.0
103,SECTOR GENERAL,VIZCAYA,10000,0,10000,30-40 min,6.0
104,SECTOR GENERAL,HOTEL HACARITAMA,10000,0,10000,30-40 min,6.0
105,SECTOR GENERAL,CANCHA RACING,10000,0,10000,30-40 min,6.0
106,SECTOR GENERAL,HACARITAMA,10000,0,10000,30-40 min,6.0
107,SECTOR GENERAL,BARRIO PRIMAVERA,10000,0,10000,30-40 min,6.0
108,SECTOR GENERAL,PARQUE PRIMAVERA,10000,0,10000,30-40 min,6.0
109,SECTOR GENERAL,CIUDADELA EL DIVINO NIÑO,10000,0,10000,30-40 min,6.0
110,SECTOR GENERAL,LAS FERIAS,10000,0,10000,30-40 min,6.0
111,SECTOR GENERAL,GAITAN,10000,0,10000,30-40 min,6.0
112,SECTOR GENERAL,SAN GREGORIO,10000,0,10000,30-40 min,6.0
113,SECTOR CEREO UNO,MAIZARO,10000,0,10000,30-40 min,6.0
114,SECTOR CEREO UNO,"CONDOMINIO DUARY 1,2",10000,0,10000,30-40 min,6.0
115,SECTOR CEREO UNO,CERRO CAMPESTRE ALTO,10000,0,10000,30-40 min,6.0
116,SECTOR CEREO UNO,CERRO CAMPESTRE BAJO,10000,0,10000,30-40 min,6.0
117,SECTOR CEREO UNO,CONDOMINIO BOSQUES DE VIZCAYA,10000,0,10000,30-40 min,6.0
118,SECTOR CEREO UNO,CONDOMINIO PORTAL DEL MOLINO,10000,0,10000,30-40 min,6.0
119,SECTOR CEREO UNO,RESERVAS DEL VIZCAYA,10000,0,10000,30-40 min,6.0
120,SECTOR CEREO UNO,"CONJUNTO LOS ALMENDROS 1,2",10000,0,10000,30-40 min,6.0
121,SECTOR CEREO UNO,CAMINOS DE SEVILLA,10000,0,10000,30-40 min,6.0
122,SECTOR CEREO UNO,LLANO HERMOSO,10000,0,10000,30-40 min,6.0
123,SECTOR CEREO UNO,"CONJUNTO BONNANZA 1,2",10000,0,10000,30-40 min,6.0
124,SECTOR CEREO UNO,RINCON DEL LLANO,10000,0,10000,30-40 min,6.0
125,SECTOR CEREO UNO,TORRES DEL MEDITERRENO,10000,0,10000,30-40 min,6.0
126,SECTOR CEREO UNO,TERMINAL DE TRANSPORTE,10000,0,10000,30-40 min,6.0
127,SECTOR CEREO UNO,"QUINTA DE MORELIA 1,2,3",10000,0,10000,30-40 min,6.0
128,SECTOR CEREO UNO,CONDOMINIO VILLAVENTO,10000,0,10000,30-40 min,6.0
129,SECTOR CEREO UNO,CONDOMINIO CIUDAD REAL,10000,0,10000,30-40 min,6.0
130,SECTOR CEREO UNO,TORRES DE PRADERA,10000,0,10000,30-40 min,6.0
131,SECTOR CEREO UNO,CONDOMINIO VILLA VALERIA,10000,0,10000,30-40 min,6.0
132,SECTOR CEREO UNO,CONDOMINIO CANAGUAY,10000,0,10000,30-40 min,6.0
133,SECTOR CEREO UNO,JARDINES DE SANTORINE,10000,0,10000,30-40 min,6.0
134,SECTOR GENERAL,LLANO REAL CLUB HOUSE,13000,0,13000,35-50 min,8.5
135,SECTOR GENERAL,PALMAS DE VALLARTA,13000,0,13000,35-50 min,8.5
136,SECTOR GENERAL,CONJUNTO TERRABELA,13000,0,13000,35-50 min,8.5
137,SECTOR GENERAL,BOSQUES DE MORELIA,13000,0,13000,35-50 min,8.5
138,SECTOR GENERAL,"NUEVA ESPERANZA 1,2",13000,0,13000,35-50 min,8.5
139,SECTOR GENERAL,CONDOMINIO SIENDA MANOY,13000,0,13000,35-50 min,8.5
140,SECTOR GENERAL,QUINTAS DE SANTA CLARA,13000,0,13000,35-50 min,8.5
