id,barrio,zona,latitud,longitud,distancia_km,tarifa_base,recargo_distancia,tarifa_total,tiempo_entrega_min
67,OLIMPICO,Sector Cerca Medio,4.148,-73.6292,3.1,6000,3000,9000,17
68,VILLA JHOANA,Sector Cerca Medio,4.1447,-73.6306,3.1,6000,3000,9000,17
69,CATALUÑA,Sector Cerca Medio,4.1509,-73.6382,3.1,6000,3000,9000,17
70,VILLA NIEVES,Sector Cerca Medio,4.1521,-73.6357,3.1,6000,3000,9000,17
71,DANUVIO,Sector Cerca Medio,4.1473,-73.6352,3.1,6000,3000,9000,17
72,GAUDALAJARA,Sector Cerca Medio,4.1459,-73.6338,3.1,6000,3000,9000,17
73,MARACOS,Sector Cerca Medio,4.1505,-73.6326,3.1,6000,3000,9000,17
74,MI LLANURA,Sector Cerca Medio,4.149,-73.6343,3.1,6000,3000,9000,17
75,Página 498,Sector Cerca Medio,4.1474,-73.6326,3.1,6000,3000,9000,17
76,BELLO HORISONTE,Sector Cerca Medio,4.1442,-73.6373,3.1,6000,3000,9000,17
77,SAN INGNACIO,Sector Cerca Medio,4.1474,-73.633,3.1,6000,3000,9000,17
78,"CANTARRANA 1,2,3,4,",Sector Cerca Medio,4.1472,-73.6382,3.1,6000,3000,9000,17
79,PARQUE LA LLNURA,Sector Cerca Medio,4.1502,-73.6384,3.1,6000,3000,9000,17
80,PARQUE SICUANI,Sector Cerca Medio,4.1476,-73.6322,3.1,6000,3000,9000,17
81,SAUSALITO,Sector Cerca Medio,4.1471,-73.6375,3.1,6000,3000,9000,17
82,BOCHICA,Sector Cerca Medio,4.1527,-73.6383,3.1,6000,3000,9000,17
83,CANAIMA,Sector Cerca Medio,4.1446,-73.6343,3.1,6000,3000,9000,17
84,PORTAL DEL CANAIMA,Sector Cerca Medio,4.1526,-73.6329,3.1,6000,3000,9000,17
85,SAN NISIDRO,Sector Cerca Medio,4.1442,-73.6304,3.1,6000,3000,9000,17
86,SANTA INES,Sector Cerca Medio,4.1509,-73.6339,3.1,6000,3000,9000,17
87,HOTEL ROSADO,Sector Cerca Medio,4.1456,-73.6357,3.1,6000,3000,9000,17
88,VILLA DEL SOL,Sector Cerca Medio,4.1443,-73.6354,3.1,6000,3000,9000,17
89,LA MORGUE,Sector Cerca Medio,4.1447,-73.6377,3.1,6000,3000,9000,17
90,SAN MARCOS,Sector Cerca Medio,4.1455,-73.6313,3.1,6000,3000,9000,17
