id,barrio,zona,latitud,longitud,distancia_km,tarifa_base,recargo_distancia,tarifa_total,tiempo_entrega_min
65,OLIMPICO BAJO,Sector Cerca Medio,4.1487,-73.6379,3.1,6000,3000,9000,17
66,VILLA ORTIX,Sector Cerca Medio,4.1493,-73.6305,2.4,6000,2000,8000,16
67,OLIMPICO,Sector Cerca Medio,4.148,-73.6292,2.4,6000,2000,8000,16
68,VILLA JHOANA,Sector Cerca Medio,4.1447,-73.6306,3.1,6000,3000,9000,17
69,CATALUÑA,Sector Cerca Medio,4.1509,-73.6382,3.1,6000,3000,9000,17
70,VILLA NIEVES,Sector Cerca Medio,4.1521,-73.6357,3.1,6000,3000,9000,17
71,DANUVIO,Sector Cerca Medio,4.1473,-73.6352,3.1,6000,3000,9000,17
72,GAUDALAJARA,Sector Cerca Medio,4.1459,-73.6338,3.1,6000,3000,9000,17
73,MARACOS,Sector Cerca Medio,4.1505,-73.6326,3.1,6000,3000,9000,17
74,MI LLANURA,Sector Cerca Medio,4.149,-73.6343,3.1,6000,3000,9000,17
75,BELLO HORISONTE,Sector Cerca Medio,4.1442,-73.6373,2.4,6000,2000,8000,16
76,SAN INGNACIO,Sector Cerca Medio,4.1474,-73.633,2.4,6000,2000,8000,16
77,"CANTARRANA 1,2,3,4,",Sector Cerca Medio,4.1472,-73.6382,2.4,6000,2000,8000,16
78,PARQUE LA LLANURA,Sector Cerca Medio,4.1415,-73.628,2.4,6000,2000,8000,16
79,PARQUE SICUANI,Sector Cerca Medio,4.1476,-73.6322,2.4,6000,2000,8000,16
80,SAUSALITO,Sector Cerca Medio,4.1471,-73.6375,2.4,6000,2000,8000,16
81,BOCHICA,Sector Cerca Medio,4.1527,-73.6383,3.1,6000,3000,9000,17
82,CANAIMA,Sector Cerca Medio,4.1446,-73.6343,3.1,6000,3000,9000,17
83,PORTAL DEL CANAIMA,Sector Cerca Medio,4.1526,-73.6329,3.1,6000,3000,9000,17
84,Página 188,Sector Cerca Medio,4.1498,-73.6381,3.1,6000,3000,9000,17
85,SAN NISIDRO,Sector Cerca Medio,4.1442,-73.6304,3.1,6000,3000,9000,17
86,SANTA INES,Sector Cerca Medio,4.1509,-73.6339,3.1,6000,3000,9000,17
87,HOTEL ROSADO,Sector Cerca Medio,4.1456,-73.6357,3.1,6000,3000,9000,17
88,VILLA DEL SOL,Sector Cerca Medio,4.1443,-73.6354,3.1,6000,3000,9000,17
89,LA MORGUE,Sector Cerca Medio,4.1447,-73.6377,3.1,6000,3000,9000,17
90,SAN MARCOS,Sector Cerca Medio,4.1455,-73.6313,3.1,6000,3000,9000,17
91,CONJONTO TOSCANA,Sector Cerca Medio,4.1457,-73.636,3.1,6000,3000,9000,17
92,QUINTAS DE TOSCANA,Sector Cerca Medio,4.1471,-73.6372,3.1,6000,3000,9000,17
93,FLORIDA,Sector Cerca Medio,4.1534,-73.6352,3.1,6000,3000,9000,17
94,NUEVA FLORESTA,Sector Cerca Medio,4.1515,-73.6362,3.1,6000,3000,9000,17
95,TEUSACA,Sector Cerca Medio,4.15,-73.6363,3.1,6000,3000,9000,17
96,EMBUDO,Sector Cerca Medio,4.1478,-73.6304,3.1,6000,3000,9000,17
97,SANBENITO,Sector Cerca Medio,4.1438,-73.6315,3.1,6000,3000,9000,17
98,NUEVO RICAUTE,Sector Cerca Medio,4.145,-73.6323,3.1,6000,3000,9000,17
99,PORVENIR,Sector Cerca Medio,4.1532,-73.6355,3.1,6000,3000,9000,17
100,VIENTE JULIO,Sector Cerca Medio,4.1518,-73.6327,3.1,6000,3000,9000,17
101,SIMON BOLIVAR,Sector Cerca Medio,4.1515,-73.6375,2.4,6000,2000,8000,16
102,CARCEL,Sector Cerca Medio,4.1446,-73.6291,1.7,6000,1000,7000,14
103,BARRIO NOGALES,Sector Cerca Medio,4.1475,-73.633,2.4,6000,2000,8000,16
104,CANEY,Sector Cerca Medio,4.1468,-73.6318,2.4,6000,2000,8000,16
105,BRISAS DEL CANEY,Sector Cerca Medio,4.1468,-73.6318,2.4,6000,2000,8000,16
106,AMARAL,Sector Cerca Medio,4.1441,-73.6389,2.4,6000,2000,8000,16
107,CATATUMBO,Sector Cerca Medio,4.1464,-73.6336,2.4,6000,2000,8000,16
108,RETIRO,Sector Cerca Medio,4.1448,-73.6327,2.4,6000,2000,8000,16
109,BUENOS AIRES,Sector Cerca Medio,4.1442,-73.6359,2.4,6000,2000,8000,16
110,Página 189,Sector Cerca Medio,4.144,-73.6324,2.4,6000,2000,8000,16
111,REMANSO,Sector Cerca Medio,4.1499,-73.6353,2.4,6000,2000,8000,16
112,HOTEL HACARITAMA,Sector Cerca Medio,4.1456,-73.6338,2.4,6000,2000,8000,16
113,CANCHA RACING,Sector Cerca Medio,4.1443,-73.6308,3.1,6000,3000,9000,17
114,HACARITAMA,Sector Cerca Medio,4.1447,-73.6386,3.1,6000,3000,9000,17
115,BARRIO PRIMAVERA,Sector Cerca Medio,4.1479,-73.636,3.1,6000,3000,9000,17
116,PARQUE PRIMAVERA,Sector Cerca Medio,4.1524,-73.6305,3.1,6000,3000,9000,17
117,CIUDADELA EL DIVINO NIÑO,Sector Cerca Medio,4.1497,-73.6292,3.1,6000,3000,9000,17
118,LAS FERIAS,Sector Cerca Medio,4.148,-73.6314,2.4,6000,2000,8000,16
119,SAN GREGORIO,Sector Cerca Medio,4.1477,-73.6329,2.4,6000,2000,8000,16
120,MAIZARO,Sector Cereo Uno,4.1517,-73.6326,3.1,6000,3000,9000,17
121,VIZCAYA,Conjuntos Y Condoninios Sector Medio,4.1522,-73.6291,3.1,6000,3000,9000,17
122,GAITAN,Conjuntos Y Condoninios Sector Medio,4.1456,-73.6352,3.1,6000,3000,9000,17
123,"CONDOMINIO DUARY 1,2",Conjuntos Y Condoninios Sector Medio,4.1457,-73.6331,3.1,6000,3000,9000,17
124,CERRO CAMPESTRE ALTO,Conjuntos Y Condoninios Sector Medio,4.1505,-73.6373,3.1,6000,3000,9000,17
125,CERRO CAMPESTRE BAJO,Conjuntos Y Condoninios Sector Medio,4.1455,-73.631,3.1,6000,3000,9000,17
126,CONDOMINIO BOSQUES DE,Conjuntos Y Condoninios Sector Medio,4.15,-73.6318,3.1,6000,3000,9000,17
127,CONDOMINIO PORTAL DEL,Conjuntos Y Condoninios Sector Medio,4.1473,-73.6353,3.1,6000,3000,9000,17
128,MOLINO,Conjuntos Y Condoninios Sector Medio,4.145,-73.6307,3.1,6000,3000,9000,17
129,Página 190,Conjuntos Y Condoninios Sector Medio,4.15,-73.6352,3.1,6000,3000,9000,17
130,RESERVAS DEL VIZCAYA,Conjuntos Y Condoninios Sector Medio,4.1519,-73.6384,3.1,6000,3000,9000,17
131,"CONJUNTO LOS ALMENDROS 1,2",Sector Terminal,4.1282,-73.6285,4.5,6000,5000,11000,21
132,CAMINOS DE SEVILLA,Sector Terminal,4.123,-73.6323,4.5,6000,5000,11000,21
133,LLANO HERMOSO,Sector Terminal,4.1307,-73.6278,4.5,6000,5000,11000,21
134,"CONJUNTO BONNANZA 1,2",Sector Terminal,4.1284,-73.6321,4.5,6000,5000,11000,21
135,RINCON DEL LLANO,Sector Terminal,4.1307,-73.6338,4.5,6000,5000,11000,21
136,TORRES DEL MEDITERRENO,Sector Terminal,4.1295,-73.6313,4.5,6000,5000,11000,21
137,TERMINAL DE TRANSPORTE,Sector Terminal,4.128,-73.629,4.5,6000,5000,11000,21
138,"QUINTA DE MORELIA 1,2,3",Sector Terminal,4.1288,-73.628,4.5,6000,5000,11000,21
139,CONDOMINIO VILLAVENTO,Sector Terminal,4.1235,-73.6325,4.5,6000,5000,11000,21
140,CONDOMINIO CIUDAD REAL,Sector Terminal,4.1296,-73.6266,4.5,6000,5000,11000,21
141,TORRES DE PRADERA,Sector Terminal,4.1267,-73.6249,4.5,6000,5000,11000,21
142,CONDOMINIO VILLA VALERIA,Sector Terminal,4.1265,-73.6269,4.5,6000,5000,11000,21
143,CONDOMINIO CANAGUAY,Sector Terminal,4.1258,-73.6316,4.5,6000,5000,11000,21
144,Página 191,Sector Terminal,4.1323,-73.6257,4.5,6000,5000,11000,21
145,JARDINES DE SANTORINE,Sector Terminal,4.1307,-73.6281,4.5,6000,5000,11000,21
146,LLANO REAL CLUB HOUSE,Sector Terminal,4.128,-73.6272,4.5,6000,5000,11000,21
147,PALMAS DE VALLARTA,Sector Terminal,4.1251,-73.6273,4.5,6000,5000,11000,21
148,CONJUNTO TERRABELA,Sector Terminal,4.1292,-73.6276,4.5,6000,5000,11000,21
149,BOSQUES DE MORELIA,Sector Terminal,4.1279,-73.6253,4.5,6000,5000,11000,21
150,"NUEVA ESPERANZA 1,2",Sector Amarilo,4.1078,-73.6065,7.3,6000,9000,15000,28
151,CONDOMINIO SIENDA MANOY,Sector Amarilo,4.1082,-73.6035,7.3,6000,9000,15000,28
152,QUINTAS DE SANTA CLARA,Sector Amarilo,4.1044,-73.6067,7.3,6000,9000,15000,28
153,BARRIO VILLA DEL ALCARABAN,Sector Amarilo,4.1112,-73.6092,7.3,6000,9000,15000,28
154,URBANIZACION CALATRABA,Sector Amarilo,4.1037,-73.6083,7.3,6000,9000,15000,28
155,TERRA VERDE,Sector Amarilo,4.1097,-73.6015,7.3,6000,9000,15000,28
156,ALAMEDA DEL BOSQUE,Sector Amarilo,4.1495,-73.631,7.3,6000,9000,15000,28
157,REMANSOS DEL LLANO,Sector Amarilo,4.1081,-73.6026,7.3,6000,9000,15000,28
158,SAN GERARDO,Sector Amarilo,4.11,-73.6099,7.3,6000,9000,15000,28
159,TERRA VELA,Sector Amarilo,4.1051,-73.6008,7.3,6000,9000,15000,28
