id,barrio,zona,latitud,longitud,distancia_km,tarifa_base,recargo_distancia,tarifa_total,tiempo_entrega_min
65,GAUDALAJARA,Sector Cerca Medio,4.1459,-73.6338,1.6,6000,3000,9000,17
66,MARACOS,Sector Cerca Medio,4.1505,-73.6326,0.8,6000,3000,9000,17
67,MI LLANURA,Sector Cerca Medio,4.149,-73.6343,1.4,6000,3000,9000,17
68,BELLO HORIZONTE,Sector Cerca Medio,4.1534,-73.6363,1.1,6000,3000,9000,17
69,SAN IGNACIO,Sector Cerca Medio,4.1475,-73.6375,0.6,6000,3000,9000,17
70,"CANTARRANA 1,2,3,4,",Sector Cerca Medio,4.1472,-73.6382,1.4,6000,3000,9000,17
71,PARQUE LA LLANURA,Sector Cerca Medio,4.1415,-73.628,0.5,6000,3000,9000,17
72,PARQUE SIKUANI,Sector Cerca Medio,4.1375,-73.6265,0.6,6000,3000,9000,17
73,SAUSALITO,Sector Cerca Medio,4.1471,-73.6375,1.5,6000,3000,9000,17
74,BOCHICA,Sector Cerca Medio,4.1527,-73.6383,1.5,6000,3000,9000,17
75,CANAIMA,Sector Cerca Medio,4.1446,-73.6343,1.0,6000,3000,9000,17
76,PORTAL DEL CANAIMA,Sector Cerca Medio,4.1526,-73.6329,1.0,6000,3000,9000,17
77,SAN ISIDRO,Sector Cerca Medio,4.1512,-73.6345,1.5,6000,3000,9000,17
78,SANTA INES,Sector Cerca Medio,4.1509,-73.6339,1.3,6000,3000,9000,17
79,HOTEL ROSADO,Sector Cerca Medio,4.1456,-73.6357,1.0,6000,3000,9000,17
80,VILLA DEL SOL,Sector Cerca Medio,4.1443,-73.6354,0.6,6000,3000,9000,17
81,LA MORGUE,Sector Cerca Medio,4.1447,-73.6377,1.0,6000,3000,9000,17
82,SAN MARCOS,Sector Cerca Medio,4.1455,-73.6313,1.1,6000,3000,9000,17
83,CONJUNTO TOSCANA,Sector Cerca Medio,4.1453,-73.6291,1.0,6000,3000,9000,17
84,QUINTAS DE TOSCANA,Sector Cerca Medio,4.1471,-73.6372,1.0,6000,3000,9000,17
85,FLORIDA,Sector Cerca Medio,4.1534,-73.6352,1.0,6000,3000,9000,17
86,NUEVA FLORESTA,Sector Cerca Medio,4.1515,-73.6362,1.2,6000,3000,9000,17
87,TEUSACA,Sector Cerca Medio,4.15,-73.6363,0.7,6000,3000,9000,17
88,EMBUDO,Sector Cerca Medio,4.1478,-73.6304,0.9,6000,3000,9000,17
89,SANBENITO,Sector Cerca Medio,4.1438,-73.6315,1.1,6000,3000,9000,17
90,NUEVO RICAUTE,Sector Cerca Medio,4.145,-73.6323,1.0,6000,3000,9000,17
91,PORVENIR,Sector Cerca Medio,4.1532,-73.6355,0.8,6000,3000,9000,17
92,VEINTE DE JULIO,Sector Cerca Medio,4.1473,-73.6358,0.9,6000,3000,9000,17
93,SIMON BOLIVAR,Sector Cerca Medio,4.1515,-73.6375,0.8,6000,3000,9000,17
94,ANTONIO RICAUTE,Sector Cerca Medio,4.152,-73.6332,1.0,6000,3000,9000,17
95,BARRIO NOGALES,Sector Cerca Medio,4.1475,-73.633,1.0,6000,3000,9000,17
96,CANEY,Sector Cerca Medio,4.1468,-73.6318,1.0,6000,3000,9000,17
97,BRISAS DEL CANEY,Sector Cerca Medio,4.1468,-73.6318,1.0,6000,3000,9000,17
98,AMARAL,Sector Cerca Medio,4.1441,-73.6389,0.6,6000,3000,9000,17
99,CATATUMBO,Sector Cereo 01,4.1464,-73.6336,1.2,6000,2000,8000,16
100,RETIRO,Sector Cereo 01,4.1448,-73.6327,0.9,6000,2000,8000,16
101,BUENOS AIRES,Sector Cereo 01,4.1442,-73.6359,0.6,6000,2000,8000,16
102,REMANSO,Sector Cereo 01,4.1499,-73.6353,1.3,6000,2000,8000,16
103,VIZCAYA,Sector Cereo 01,4.1522,-73.6291,0.6,6000,2000,8000,16
104,HOTEL HACARITAMA COLONIAL,Sector Cereo 01,4.1466,-73.6337,1.0,6000,2000,8000,16
105,CANCHA RANCING,Sector Cereo 01,4.1524,-73.6303,1.0,6000,2000,8000,16
106,HACARITAMA,Sector Cereo 01,4.1447,-73.6386,0.7,6000,2000,8000,16
107,BARRIO PRIMAVERA,Sector Cereo 01,4.1479,-73.636,0.8,6000,2000,8000,16
108,PARQUE PRIMAVERA,Sector Cereo 01,4.1524,-73.6305,0.5,6000,2000,8000,16
109,CIUDADELA EL DIVINO NIÑO,Sector Cereo 01,4.1497,-73.6292,1.0,6000,2000,8000,16
110,LAS FERIAS,Sector Cereo 01,4.148,-73.6314,0.6,6000,2000,8000,16
111,GAITAN,Sector Cereo 01,4.1456,-73.6352,0.9,6000,2000,8000,16
112,SAN GREGORIO,Sector Cereo 01,4.1477,-73.6329,1.0,6000,2000,8000,16
113,MAIZARO,Sector Cereo 01,4.1517,-73.6326,0.5,6000,2000,8000,16
114,"CONDOMINIO DUARY 1,2",Sector Terminal,4.1249,-73.6282,2.8,6000,3000,9000,17
115,CERRO CAMPESTRE ALTO,Sector Terminal,4.1297,-73.6324,2.8,6000,3000,9000,17
116,CERRO CAMPESTRE BAJO,Sector Terminal,4.1247,-73.6261,2.4,6000,3000,9000,17
117,CONDOMINIO BOSQUES DE VIZCAYA,Sector Terminal,4.1294,-73.6284,2.2,6000,3000,9000,17
118,CONDOMINIO PORTAL DEL MOLINO,Sector Terminal,4.1253,-73.6254,2.5,6000,3000,9000,17
119,RESERVAS DEL VIZCAYA,Sector Terminal,4.1311,-73.6335,2.0,6000,3000,9000,17
120,"CONJUNTO LOS ALMENDROS 1,2",Sector Terminal,4.1282,-73.6285,2.5,6000,3000,9000,17
121,CAMINOS DE SEVILLA,Sector Terminal,4.123,-73.6323,2.8,6000,3000,9000,17
122,LLANO HERMOSO,Sector Terminal,4.1307,-73.6278,2.7,6000,3000,9000,17
123,"CONJUNTO BONNANZA 1,2",Sector Terminal,4.1284,-73.6321,2.6,6000,3000,9000,17
124,RINCON DEL LLANO,Sector Terminal,4.1307,-73.6338,2.3,6000,3000,9000,17
125,TORRES DEL MEDITERRENO,Sector Terminal,4.1295,-73.6313,2.4,6000,3000,9000,17
126,TERMINAL DE TRANSPORTE,Sector Terminal,4.128,-73.629,2.3,6000,3000,9000,17
127,"QUINTA DE MORELIA 1,2,3",Sector Terminal,4.1288,-73.628,2.7,6000,3000,9000,17
128,CONDOMINIO VILLAVENTO,Sector Terminal,4.1235,-73.6325,2.0,6000,3000,9000,17
129,CONDOMINIO CIUDAD REAL,Sector Terminal,4.1296,-73.6266,2.2,6000,3000,9000,17
130,TORRES DE PRADERA,Sector Terminal,4.1267,-73.6249,2.6,6000,3000,9000,17
131,CONDOMINIO VILLA VALERIA,Sector Terminal,4.1265,-73.6269,2.2,6000,3000,9000,17
132,CONDOMINIO CANAGUAY,Sector Terminal,4.1258,-73.6316,1.8,6000,4000,10000,19
133,JARDINES DE SANTORINE,Sector Terminal,4.1307,-73.6281,2.6,6000,4000,10000,19
134,LLANO REAL CLUB HOUSE,Sector Terminal,4.128,-73.6272,1.8,6000,4000,10000,19
135,PALMAS DE VALLARTA,Sector Terminal,4.1251,-73.6273,2.2,6000,4000,10000,19
136,CONJUNTO TERRABELA,Sector Terminal,4.1292,-73.6276,2.7,6000,4000,10000,19
137,BOSQUES DE MORELIA,Sector Terminal,4.1279,-73.6253,2.0,6000,4000,10000,19
138,"NUEVA ESPERANZA 1,2",Sector Terminal,4.1278,-73.6305,1.8,6000,4000,10000,19
139,CONDOMINIO SIENDA MANOY,Sector Terminal,4.1282,-73.6275,2.4,6000,4000,10000,19
140,QUINTAS DE SANTA CLARA,Sector Terminal,4.1244,-73.6307,1.8,6000,4000,10000,19
