id,barrio,zona,latitud,longitud,distancia_km,tarifa_base,recargo_distancia,tarifa_total,tiempo_entrega_min
64,VILLA ORTIX,Sector Cerca Medio,4.1493,-73.6305,1.6,6000,3000,9000,17
65,OLIMPICO,Sector Cerca Medio,4.148,-73.6292,1.3,6000,3000,9000,17
66,VILLA JHOANA,Sector Cerca Medio,4.1447,-73.6306,1.0,6000,3000,9000,17
67,CATALUÑA,Sector Cerca Medio,4.1509,-73.6382,1.0,6000,3000,9000,17
68,VILLA NIEVES,Sector Cerca Medio,4.1521,-73.6357,1.2,6000,3000,9000,17
69,DANUVIO,Sector Cerca Medio,4.1473,-73.6352,1.0,6000,3000,9000,17
70,GAUDALAJARA,Sector Cerca Medio,4.1459,-73.6338,1.7,6000,3000,9000,17
71,MARACOS,Sector Cerca Medio,4.1505,-73.6326,0.8,6000,3000,9000,17
72,MI LLANURA,Sector Cerca Medio,4.149,-73.6343,1.5,6000,3000,9000,17
73,BELLO HORISONTE,Sector Cerca Medio,4.1442,-73.6373,1.0,6000,3000,9000,17
74,SAN INGNACIO,Sector Cerca Medio,4.1474,-73.633,1.4,6000,3000,9000,17
75,"CANTARRANA 1,2,3,4,",Sector Cerca Medio,4.1472,-73.6382,1.6,6000,3000,9000,17
76,PARQUE LA LLNURA,Sector Cerca Medio,4.1502,-73.6384,1.0,6000,3000,9000,17
77,PARQUE SICUANI,Sector Cerca Medio,4.1476,-73.6322,0.7,6000,3000,9000,17
78,SAUSALITO,Sector Cerca Medio,4.1471,-73.6375,1.7,6000,3000,9000,17
79,BOCHICA,Sector Cerca Medio,4.1527,-73.6383,1.7,6000,3000,9000,17
80,CANAIMA,Sector Cerca Medio,4.1446,-73.6343,0.5,6000,3000,9000,17
81,PORTAL DEL CANAIMA,Sector Cerca Medio,4.1526,-73.6329,1.1,6000,3000,9000,17
82,Página 96,Sector Cerca Medio,4.1535,-73.6344,0.6,6000,3000,9000,17
83,SAN NISIDRO,Sector Cerca Medio,4.1442,-73.6304,1.0,6000,3000,9000,17
84,SANTA INES,Sector Cerca Medio,4.1509,-73.6339,1.5,6000,3000,9000,17
85,HOTEL ROSADO,Sector Cerca Medio,4.1456,-73.6357,1.0,6000,3000,9000,17
86,VILLA DEL SOL,Sector Cerca Medio,4.1443,-73.6354,1.0,6000,3000,9000,17
87,LA MORGUE,Sector Cerca Medio,4.1447,-73.6377,0.9,6000,3000,9000,17
88,SAN MARCOS,Sector Cerca Medio,4.1455,-73.6313,1.2,6000,3000,9000,17
89,CONJONTO TOSCANA,Conjuntos Y Condoninios Sector Medio,4.1457,-73.636,0.7,6000,3000,9000,17
90,QUINTAS DE TOSCANA,Conjuntos Y Condoninios Sector Medio,4.1471,-73.6372,1.0,6000,3000,9000,17
91,FLORIDA,Conjuntos Y Condoninios Sector Medio,4.1534,-73.6352,1.1,6000,3000,9000,17
92,NUEVA FLORESTA,Conjuntos Y Condoninios Sector Medio,4.1515,-73.6362,1.4,6000,3000,9000,17
93,TEUSACA,Conjuntos Y Condoninios Sector Medio,4.15,-73.6363,0.5,6000,3000,9000,17
94,EMBUDO,Conjuntos Y Condoninios Sector Medio,4.1478,-73.6304,1.0,6000,3000,9000,17
95,SANBENITO,Conjuntos Y Condoninios Sector Medio,4.1438,-73.6315,1.0,6000,3000,9000,17
96,NUEVO RICAUTE,Conjuntos Y Condoninios Sector Medio,4.145,-73.6323,0.5,6000,3000,9000,17
97,PORVENIR,Conjuntos Y Condoninios Sector Medio,4.1532,-73.6355,0.9,6000,3000,9000,17
98,VIENTE JULIO,Conjuntos Y Condoninios Sector Medio,4.1518,-73.6327,1.0,6000,3000,9000,17
99,SIMON BOLIVAR,Conjuntos Y Condoninios Sector Medio,4.1515,-73.6375,1.0,6000,3000,9000,17
100,ANTONIO RICAUTE,Conjuntos Y Condoninios Sector Medio,4.152,-73.6332,1.1,6000,3000,9000,17
101,BARRIO NOGALES,Conjuntos Y Condoninios Sector Medio,4.1475,-73.633,1.0,6000,3000,9000,17
102,CANEY,Conjuntos Y Condoninios Sector Medio,4.1468,-73.6318,1.0,6000,3000,9000,17
103,BRISAS DEL CANEY,Conjuntos Y Condoninios Sector Medio,4.1468,-73.6318,1.0,6000,3000,9000,17
104,AMARAL,Conjuntos Y Condoninios Sector Medio,4.1441,-73.6389,0.8,6000,3000,9000,17
105,CATATUMBO,Conjuntos Y Condoninios Sector Medio,4.1464,-73.6336,1.4,6000,3000,9000,17
106,RETIRO,Conjuntos Y Condoninios Sector Medio,4.1448,-73.6327,0.9,6000,3000,9000,17
107,BUENOS AIRES,Conjuntos Y Condoninios Sector Medio,4.1442,-73.6359,0.5,6000,3000,9000,17
108,REMANSO,Conjuntos Y Condoninios Sector Medio,4.1499,-73.6353,1.5,6000,3000,9000,17
109,VIZCAYA,Conjuntos Y Condoninios Sector Medio,4.1522,-73.6291,1.0,6000,3000,9000,17
110,Página 97,Conjuntos Y Condoninios Sector Medio,4.1519,-73.6387,1.5,6000,3000,9000,17
111,HOTEL HACARITAMA,Conjuntos Y Condoninios Sector Medio,4.1456,-73.6338,1.3,6000,3000,9000,17
112,CANCHA RACING,Conjuntos Y Condoninios Sector Medio,4.1443,-73.6308,1.0,6000,3000,9000,17
113,HACARITAMA,Conjuntos Y Condoninios Sector Medio,4.1447,-73.6386,0.9,6000,3000,9000,17
114,BARRIO PRIMAVERA,Conjuntos Y Condoninios Sector Medio,4.1479,-73.636,1.0,6000,3000,9000,17
115,PARQUE PRIMAVERA,Conjuntos Y Condoninios Sector Medio,4.1524,-73.6305,1.0,6000,3000,9000,17
116,CIUDADELA EL DIVINO NIÑO,Conjuntos Y Condoninios Sector Medio,4.1497,-73.6292,1.2,6000,3000,9000,17
117,LAS FERIAS,Conjuntos Y Condoninios Sector Medio,4.148,-73.6314,0.8,6000,3000,9000,17
118,GAITAN,Conjuntos Y Condoninios Sector Medio,4.1456,-73.6352,1.1,6000,3000,9000,17
119,SAN GREGORIO,Conjuntos Y Condoninios Sector Medio,4.1477,-73.6329,1.1,6000,3000,9000,17
120,MAIZARO,Conjuntos Y Condoninios Sector Medio,4.1517,-73.6326,0.6,6000,3000,9000,17
121,"CONDOMINIO DUARY 1,2",Conjuntos Y Condoninios Sector Medio,4.1457,-73.6331,1.0,6000,3000,9000,17
122,CERRO CAMPESTRE ALTO,Conjuntos Y Condoninios Sector Medio,4.1505,-73.6373,0.9,6000,3000,9000,17
123,CERRO CAMPESTRE BAJO,Conjuntos Y Condoninios Sector Medio,4.1455,-73.631,0.8,6000,3000,9000,17
124,CONDOMINIO BOSQUES DE VIZCAYA,Conjuntos Y Condoninios Sector Medio,4.1502,-73.6333,0.5,6000,3000,9000,17
125,CONDOMINIO PORTAL DEL MOLINO,Conjuntos Y Condoninios Sector Medio,4.1461,-73.6303,1.0,6000,3000,9000,17
126,RESERVAS DEL VIZCAYA,Conjuntos Y Condoninios Sector Medio,4.1519,-73.6384,0.9,6000,3000,9000,17
