id,barrio,zona,latitud,longitud,distancia_km,tarifa_base,recargo_distancia,tarifa_total,tiempo_entrega_min
67,VILLA ORTIX,Sector Cerca Medio,4.1493,-73.6305,2.4,6000,2000,8000,16
68,OLIMPICO,Sector Cerca Medio,4.148,-73.6292,2.4,6000,2000,8000,16
69,VILLA JHOANA,Sector Cerca Medio,4.1447,-73.6306,2.4,6000,2000,8000,16
70,CATALUÑA,Sector Cerca Medio,4.1509,-73.6382,2.4,6000,2000,8000,16
71,VILLA NIEVES,Sector Cerca Medio,4.1521,-73.6357,2.4,6000,2000,8000,16
72,DANUVIO,Sector Cerca Medio,4.1473,-73.6352,2.4,6000,2000,8000,16
73,GAUDALAJARA,Sector Cerca Medio,4.1459,-73.6338,2.4,6000,2000,8000,16
74,MARACOS,Sector Cerca Medio,4.1505,-73.6326,2.4,6000,2000,8000,16
75,MI LLANURA,Sector Cerca Medio,4.149,-73.6343,2.4,6000,2000,8000,16
76,BELLO HORISONTE,Sector Cerca Medio,4.1442,-73.6373,2.4,6000,2000,8000,16
77,SAN INGNACIO,Sector Cerca Medio,4.1474,-73.633,2.4,6000,2000,8000,16
78,"CANTARRANA 1,2,3,4,",Sector Cerca Medio,4.1472,-73.6382,2.4,6000,2000,8000,16
79,PARQUE LA LLNURA,Sector Cerca Medio,4.1502,-73.6384,2.4,6000,2000,8000,16
80,PARQUE SICUANI,Sector Cerca Medio,4.1476,-73.6322,2.4,6000,2000,8000,16
81,SAUSALITO,Sector Cerca Medio,4.1471,-73.6375,2.4,6000,2000,8000,16
82,BOCHICA,Sector Cerca Medio,4.1527,-73.6383,2.4,6000,2000,8000,16
83,CANAIMA,Sector Cerca Medio,4.1446,-73.6343,2.4,6000,2000,8000,16
84,PORTAL DEL CANAIMA,Sector Cerca Medio,4.1526,-73.6329,2.4,6000,2000,8000,16
85,SAN NISIDRO,Sector Cerca Medio,4.1442,-73.6304,2.4,6000,2000,8000,16
86,SANTA INES,Sector Cerca Medio,4.1509,-73.6339,2.4,6000,2000,8000,16
87,HOTEL ROSADO,Sector Cerca Medio,4.1456,-73.6357,2.4,6000,2000,8000,16
88,VILLA DEL SOL,Sector Cerca Medio,4.1443,-73.6354,2.4,6000,2000,8000,16
89,LA MORGUE,Sector Cerca Medio,4.1447,-73.6377,2.4,6000,2000,8000,16
90,SAN MARCOS,Sector Cerca Medio,4.1455,-73.6313,2.4,6000,2000,8000,16
91,CONJONTO TOSCANA,Sector Cerca Medio,4.1457,-73.636,2.4,6000,2000,8000,16
92,QUINTAS DE TOSCANA,Sector Cerca Medio,4.1471,-73.6372,2.4,6000,2000,8000,16
93,FLORIDA,Sector Cerca Medio,4.1534,-73.6352,2.4,6000,2000,8000,16
94,NUEVA FLORESTA,Sector Cerca Medio,4.1515,-73.6362,2.4,6000,2000,8000,16
95,Página 376,Sector Cereo Uno,4.1479,-73.6349,3.1,6000,3000,9000,17
96,TEUSACA,Sector Cereo Uno,4.15,-73.6363,3.1,6000,3000,9000,17
97,EMBUDO,Sector Cereo Uno,4.1478,-73.6304,3.1,6000,3000,9000,17
98,SANBENITO,Sector Cereo Uno,4.1438,-73.6315,3.1,6000,3000,9000,17
99,NUEVO RICAUTE,Sector Cereo Uno,4.145,-73.6323,3.1,6000,3000,9000,17
100,PORVENIR,Sector Cereo Uno,4.1532,-73.6355,3.1,6000,3000,9000,17
101,VIENTE JULIO,Sector Cereo Uno,4.1518,-73.6327,3.1,6000,3000,9000,17
102,SIMON BOLIVAR,Sector Cereo Uno,4.1515,-73.6375,3.1,6000,3000,9000,17
103,ANTONIO RICAUTE,Sector Cereo Uno,4.152,-73.6332,3.1,6000,3000,9000,17
104,BARRIO NOGALES,Sector Cereo Uno,4.1475,-73.633,3.1,6000,3000,9000,17
105,CANEY,Sector Cereo Uno,4.1468,-73.6318,3.1,6000,3000,9000,17
106,BRISAS DEL CANEY,Sector Cereo Uno,4.1468,-73.6318,3.1,6000,3000,9000,17
107,AMARAL,Sector Cereo Uno,4.1441,-73.6389,3.1,6000,3000,9000,17
108,CATATUMBO,Sector Cereo Uno,4.1464,-73.6336,3.1,6000,3000,9000,17
109,RETIRO,Sector Cereo Uno,4.1448,-73.6327,3.1,6000,3000,9000,17
110,BUENOS AIRES,Sector Cereo Uno,4.1442,-73.6359,3.1,6000,3000,9000,17
111,REMANSO,Sector Cereo Uno,4.1499,-73.6353,3.1,6000,3000,9000,17
112,VIZCAYA,Sector Cereo Uno,4.1522,-73.6291,3.1,6000,3000,9000,17
113,HOTEL HACARITAMA,Sector Cereo Uno,4.1456,-73.6338,3.1,6000,3000,9000,17
114,CANCHA RACING,Sector Cereo Uno,4.1443,-73.6308,3.1,6000,3000,9000,17
115,HACARITAMA,Sector Cereo Uno,4.1447,-73.6386,3.1,6000,3000,9000,17
116,BARRIO PRIMAVERA,Sector Cereo Uno,4.1479,-73.636,3.1,6000,3000,9000,17
117,PARQUE PRIMAVERA,Sector Cereo Uno,4.1524,-73.6305,3.1,6000,3000,9000,17
118,CIUDADELA EL DIVINO NIÑO,Sector Cereo Uno,4.1497,-73.6292,3.1,6000,3000,9000,17
119,LAS FERIAS,Sector Cereo Uno,4.148,-73.6314,3.1,6000,3000,9000,17
120,GAITAN,Sector Cereo Uno,4.1456,-73.6352,3.1,6000,3000,9000,17
121,SAN GREGORIO,Sector Cereo Uno,4.1477,-73.6329,3.1,6000,3000,9000,17
122,MAIZARO,Sector Cereo Uno,4.1517,-73.6326,3.1,6000,3000,9000,17
123,MEDIO,Conjuntos Y Condoninios Sector,4.1483,-73.6365,2.4,6000,2000,8000,16
124,"CONDOMINIO DUARY 1,2",Conjuntos Y Condoninios Sector,4.1457,-73.6331,2.4,6000,2000,8000,16
125,CERRO CAMPESTRE ALTO,Conjuntos Y Condoninios Sector,4.1505,-73.6373,2.4,6000,2000,8000,16
126,Página 377,Conjuntos Y Condoninios Sector,4.1457,-73.6345,2.4,6000,2000,8000,16
127,CERRO CAMPESTRE BAJO,Conjuntos Y Condoninios Sector,4.1455,-73.631,2.4,6000,2000,8000,16
128,CONDOMINIO BOSQUES DE,Conjuntos Y Condoninios Sector,4.15,-73.6318,2.4,6000,2000,8000,16
129,CONDOMINIO PORTAL DEL,Conjuntos Y Condoninios Sector,4.1473,-73.6353,2.4,6000,2000,8000,16
130,MOLINO,Conjuntos Y Condoninios Sector,4.145,-73.6307,2.4,6000,2000,8000,16
131,RESERVAS DEL VIZCAYA,Conjuntos Y Condoninios Sector,4.1519,-73.6384,2.4,6000,2000,8000,16
132,CONJUNTO LOS ALMENDROS,Conjuntos Y Condoninios Sector,4.1438,-73.6314,2.4,6000,2000,8000,16
133,"1,2",Conjuntos Y Condoninios Sector,4.1531,-73.6307,2.4,6000,2000,8000,16
134,CAMINOS DE SEVILLA,Conjuntos Y Condoninios Sector,4.1438,-73.6372,2.4,6000,2000,8000,16
135,LLANO HERMOSO,Sector Terminal,4.1307,-73.6278,3.8,6000,4000,10000,19
136,"CONJUNTO BONNANZA 1,2",Sector Terminal,4.1284,-73.6321,3.8,6000,4000,10000,19
137,RINCON DEL LLANO,Sector Terminal,4.1307,-73.6338,3.8,6000,4000,10000,19
138,TORRES DEL MEDITERRENO,Sector Terminal,4.1295,-73.6313,3.8,6000,4000,10000,19
139,TERMINAL DE TRANSPORTE,Sector Terminal,4.128,-73.629,3.8,6000,4000,10000,19
140,"QUINTA DE MORELIA 1,2,3",Sector Terminal,4.1288,-73.628,3.8,6000,4000,10000,19
141,CONDOMINIO VILLAVENTO,Sector Terminal,4.1235,-73.6325,3.8,6000,4000,10000,19
142,CONDOMINIO CIUDAD REAL,Sector Terminal,4.1296,-73.6266,3.8,6000,4000,10000,19
143,TORRES DE PRADERA,Sector Terminal,4.1267,-73.6249,3.8,6000,4000,10000,19
144,CONDOMINIO VILLA,Sector Terminal,4.125,-73.6278,3.8,6000,4000,10000,19
145,VALERIA,Sector Terminal,4.1315,-73.6288,3.8,6000,4000,10000,19
146,CONDOMINIO CANAGUAY,Sector Terminal,4.1258,-73.6316,3.8,6000,4000,10000,19
147,JARDINES DE SANTORINE,Sector Terminal,4.1307,-73.6281,3.8,6000,4000,10000,19
148,LLANO REAL CLUB HOUSE,Sector Terminal,4.128,-73.6272,3.8,6000,4000,10000,19
149,PALMAS DE VALLARTA,Sector Terminal,4.1251,-73.6273,3.8,6000,4000,10000,19
150,CONJUNTO TERRABELA,Sector Terminal,4.1292,-73.6276,3.8,6000,4000,10000,19
151,BOSQUES DE MORELIA,Sector Terminal,4.1279,-73.6253,3.8,6000,4000,10000,19
152,"NUEVA ESPERANZA 1,2",Sector Terminal,4.1278,-73.6305,3.8,6000,4000,10000,19
153,CONDOMINIO SIENDA,Sector Terminal,4.1253,-73.6256,3.8,6000,4000,10000,19
154,MANOY,Sector Terminal,4.1313,-73.6337,3.8,6000,4000,10000,19
155,QUINTAS DE SANTA CLARA,Sector Terminal,4.1244,-73.6307,3.8,6000,4000,10000,19
156,BARRIO VILLA DEL,Sector Terminal,4.1266,-73.6297,3.8,6000,4000,10000,19
157,ALCARABAN,Sector Terminal,4.1294,-73.6312,3.8,6000,4000,10000,19
158,URBANIZACION CALATRABA,Sector Terminal,4.1237,-73.6323,3.8,6000,4000,10000,19
159,TERRA VERDE,Sector Terminal,4.1297,-73.6255,3.8,6000,4000,10000,19
160,ALAMEDA DEL BOSQUE,Sector Terminal,4.1495,-73.631,3.8,6000,4000,10000,19
161,REMANSOS DEL LLANO,Sector Terminal,4.1281,-73.6266,3.8,6000,4000,10000,19
162,SAN GERARDO,Sector Terminal,4.13,-73.6339,3.8,6000,4000,10000,19
163,TERRA VELA,Sector Terminal,4.1251,-73.6248,3.8,6000,4000,10000,19
164,AMARILO MORICHAL,Sector Amarilo,4.108,-73.605,6.6,6000,8000,14000,26
165,Página 378,Sector Amarilo,4.1085,-73.601,6.6,6000,8000,14000,26
166,AMARILO CIMARON,Sector Amarilo,4.108,-73.605,6.6,6000,8000,14000,26
167,AMARILO ALBORADA,Sector Amarilo,4.108,-73.605,6.6,6000,8000,14000,26
168,AMARILO PIEDEMONTE,Sector Amarilo,4.108,-73.605,6.6,6000,8000,14000,26
169,AMARILO ARAUCO,Sector Amarilo,4.108,-73.605,6.6,6000,8000,14000,26
170,AMARILO ZAINOS,Sector Amarilo,4.108,-73.605,6.6,6000,8000,14000,26
171,AMARILO PASOLLONO,Sector Amarilo,4.108,-73.605,6.6,6000,8000,14000,26
172,"1,2,3,4",Sector Amarilo,4.1117,-73.6051,6.6,6000,8000,14000,26
173,AMARILO ALCARABN,Sector Amarilo,4.108,-73.605,6.6,6000,8000,14000,26
174,AMARILO MAPIRE,Sector Amarilo,4.108,-73.605,6.6,6000,8000,14000,26
175,AMARILO OCARROS,Sector Amarilo,4.108,-73.605,6.6,6000,8000,14000,26
176,AMARILO ARBOLEDA,Sector Amarilo,4.108,-73.605,6.6,6000,8000,14000,26
177,CAMPESTRE,Sector Amarilo,4.1107,-73.6071,6.6,6000,8000,14000,26
178,AMARILO PRADO VERDE,Sector Amarilo,4.108,-73.605,6.6,6000,8000,14000,26
179,CAMPESTRE IV 4,Sector Amarilo,4.1113,-73.608,6.6,6000,8000,14000,26
180,AMARILO LLANO ALTO,Sector Amarilo,4.108,-73.605,6.6,6000,8000,14000,26
